OU_LOOKBACK,RISK_AVERSION,POSITION_SIZE,score
150,0.9000000000000001,10000,1.715437168654141
200,0.7500000000000001,10000,1.690928977135588
500,0.7000000000000001,10000,1.6203467535157472
450,0.7000000000000001,10000,1.4509441087854498
400,0.7500000000000001,10000,1.275835916466768
250,1.2000000000000002,10000,1.0103121365069967
250,1.1500000000000001,10000,0.7975173118839258
250,1.05,10000,0.5595720101288393
350,0.8500000000000001,10000,0.40773640267147115
500,0.7500000000000001,10000,0.3772157429016403
100,0.45,10000,0.23092675084203762
400,0.9000000000000001,10000,0.17373460065470425
100,0.4,10000,0.10832240783488345
100,0.1,10000,0.009624474486564338
250,1.0,10000,0.0055613828947507216
350,0.7000000000000001,10000,-0.04942342262024013
450,0.7500000000000001,10000,-0.22167579013087746
250,1.1,10000,-0.2224537942958431
250,0.7500000000000001,10000,-0.26149670456389273
150,0.9500000000000001,10000,-0.3450985534665989
600,0.7500000000000001,10000,-0.36432139456533363
200,0.8,10000,-0.5227838536891589
350,0.9000000000000001,10000,-0.5375098365807887
200,0.9000000000000001,10000,-0.7732750309712983
300,0.8,10000,-0.8084177495404887
400,0.9500000000000001,10000,-0.814591379693745
350,1.2000000000000002,10000,-0.9463282657106706
600,0.8,10000,-0.9891180270341113
200,0.8500000000000001,10000,-1.0617011226390467
400,0.8,10000,-1.117178858066632
400,1.1,10000,-1.23356188223471
250,0.9500000000000001,10000,-1.3204461060835762
400,0.8500000000000001,10000,-1.4020435544193468
150,0.8500000000000001,10000,-1.4178025374732819
550,0.7000000000000001,10000,-1.4213286127830251
300,0.6500000000000001,10000,-1.4855867096703328
550,0.7500000000000001,10000,-1.532825099732296
350,0.8,10000,-1.5596625920188067
300,0.7000000000000001,10000,-1.5673372080019128
350,0.7500000000000001,10000,-1.894606036185312
150,0.8,10000,-1.9702568746931455
350,1.1500000000000001,10000,-1.9782450411136328
600,0.8500000000000001,10000,-2.1127103103466993
200,1.35,10000,-2.1853493074056143
300,1.4000000000000001,10000,-2.2048551740147744
350,1.2500000000000002,10000,-2.2882246300210296
350,1.3,10000,-2.2882246300210296
