ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
601,150,0.7000000000000001,2.75,10000,36.8727203347153
601,150,1.2000000000000002,4.0,10000,36.79595993631513
601,150,1.2000000000000002,3.75,10000,36.79595993631513
601,150,1.9000000000000001,3.25,10000,36.78395005451624
601,125,0.6,3.5,10000,36.73855620680822
601,125,1.7000000000000002,3.0,10000,36.47055416041073
601,150,1.2000000000000002,3.5,10000,36.37462125198096
601,125,1.5000000000000002,3.0,10000,36.33409389856764
601,125,0.9,3.25,10000,36.30444572403109
601,150,1.2000000000000002,3.25,10000,36.265479820931866
601,150,1.3000000000000003,4.0,10000,36.19014118067148
601,150,1.3000000000000003,3.75,10000,36.19014118067148
601,150,1.8000000000000003,3.0,10000,36.12228869747479
601,100,0.2,3.5,10000,36.0153018140889
601,100,0.2,4.0,10000,36.0153018140889
601,100,0.2,3.75,10000,36.0153018140889
601,125,0.6,3.25,10000,35.88681727397149
601,125,0.9,3.0,10000,35.798783780744394
601,150,1.3000000000000003,3.5,10000,35.76850566933143
601,100,0.2,3.25,10000,35.66535827032135
601,150,1.3000000000000003,3.25,10000,35.63129962544494
601,150,0.8,3.0,10000,35.60953274254822
601,150,0.30000000000000004,2.75,10000,35.52526245825978
601,150,1.5000000000000002,3.0,10000,35.39950910207055
601,125,0.6,3.0,10000,35.39193154900334
601,125,0.5,3.75,10000,35.11320009604671
601,125,0.5,4.0,10000,35.11320009604671
601,150,1.9000000000000001,3.0,10000,35.04553903726776
601,100,0.1,3.5,10000,34.93299481268843
601,100,0.1,4.0,10000,34.93299481268843
601,100,0.1,3.75,10000,34.93299481268843
601,150,1.4000000000000001,3.75,10000,34.84933440706188
601,150,1.4000000000000001,4.0,10000,34.84933440706188
601,150,0.4,2.5,10000,34.81043125147945
601,125,0.5,3.5,10000,34.72015954336763
601,150,1.8000000000000003,2.75,10000,34.69598503019783
601,150,0.9,4.0,10000,34.647086000564364
601,150,0.9,3.75,10000,34.647086000564364
601,150,2.2,4.0,10000,34.597894105662775
601,150,2.2,3.75,10000,34.597894105662775
601,100,0.1,3.25,10000,34.582164556925434
601,75,0.7000000000000001,3.5,10000,34.49902291866429
601,150,1.2000000000000002,3.0,10000,34.459244248788465
601,150,1.4000000000000001,3.5,10000,34.4342994086926
601,150,1.6,2.5,10000,34.41674436557555
601,150,1.4000000000000001,3.25,10000,34.30083597733062
601,75,0.7000000000000001,4.0,10000,34.253432947712234
601,75,0.7000000000000001,3.75,10000,34.253432947712234
