transition_day,position_size,static_params.ZSCORE_LOOKBACK,static_params.ENTRY_THRESHOLD,static_params.STOP_LOSS_THRESHOLD,adaptive_params.OU_LOOKBACK,adaptive_params.RISK_AVERSION,score
601,10000,150,0.5,4.0,460,0.1,65.53820444317716
601,10000,150,0.5,4.0,540,0.2,65.45388913903604
601,10000,150,0.5,4.0,460,0.2,65.28689539817051
601,10000,150,0.5,4.0,470,0.15,65.25343158243014
651,10000,150,0.5,4.0,480,0.2,65.22213297735331
601,10000,150,0.5,4.0,500,0.15,65.21106025264379
601,10000,150,0.5,4.0,590,0.1,65.14806911367728
601,10000,150,0.5,4.0,550,0.1,65.08994527270644
651,10000,150,0.5,4.0,270,0.3,65.07008100123825
601,10000,150,0.5,4.0,520,0.1,64.93624536662362
601,10000,150,0.5,4.0,600,0.1,64.34528144421544
651,10000,150,0.5,4.0,500,0.2,64.27121020201892
501,10000,150,0.5,4.0,490,0.1,64.09008022681272
651,10000,150,0.5,4.0,470,0.3,64.05199782709893
601,10000,150,0.5,4.0,600,0.15,63.92806255709524
601,10000,150,0.5,4.0,570,0.1,63.90380866943474
601,10000,150,0.5,4.0,300,0.15,63.806820207358506
651,10000,150,0.5,4.0,560,0.2,63.69485763506428
651,10000,150,0.5,4.0,350,0.2,63.57649561335344
601,10000,150,0.5,4.0,560,0.25,63.55219847812505
601,10000,150,0.5,4.0,390,0.2,63.46878926070159
601,10000,150,0.5,4.0,420,0.3,63.22708799407522
601,10000,150,0.5,4.0,410,0.2,63.1706975152864
601,10000,150,0.5,4.0,530,0.25,63.14297033935068
651,10000,150,0.5,4.0,480,0.3,63.11177012795126
601,10000,150,0.5,4.0,530,0.35,62.755572263514594
601,10000,150,0.5,4.0,600,0.2,62.72976575119669
601,10000,150,0.5,4.0,580,0.1,62.59626687024357
651,10000,150,0.5,4.0,490,0.2,62.47634987051759
651,10000,150,0.5,4.0,290,0.15,62.41337759409647
651,10000,150,0.5,4.0,530,0.2,62.3747687175306
651,10000,150,0.5,4.0,390,0.1,62.213919020230286
651,10000,150,0.5,4.0,520,0.15,62.15314737558773
601,10000,150,0.5,4.0,460,0.3,62.1323643177798
651,10000,150,0.5,4.0,510,0.2,61.667522842080245
651,10000,150,0.5,4.0,540,0.1,61.657220066754384
601,10000,150,0.5,4.0,430,0.25,61.50952759347851
601,10000,150,0.5,4.0,290,0.15,61.39612918315052
601,10000,150,0.5,4.0,590,0.25,61.34930137997205
601,10000,150,0.5,4.0,470,0.2,61.284392972218505
601,10000,150,0.5,4.0,430,0.15,61.099399278651525
651,10000,150,0.5,4.0,470,0.15,61.08180777367956
601,10000,150,0.5,4.0,370,0.2,60.96848527174797
651,10000,150,0.5,4.0,450,0.25,60.88281701254648
651,10000,150,0.5,4.0,440,0.15,60.73929371607341
601,10000,150,0.5,4.0,520,0.25,60.17154070405981
651,10000,150,0.5,4.0,490,0.1,60.084756868583696
601,10000,150,0.5,4.0,400,0.25,59.78723932596326
651,10000,150,0.5,4.0,270,0.25,59.72625804336797
601,10000,150,0.5,4.0,390,0.1,59.70917581659493
601,10000,150,0.5,4.0,420,0.25,59.69182330428934
601,10000,150,0.5,4.0,500,0.25,59.631578809169625
651,10000,150,0.5,4.0,600,0.1,59.5695828091681
651,10000,150,0.5,4.0,470,0.2,59.459911282057355
601,10000,150,0.5,4.0,490,0.15,59.38133234395266
601,10000,150,0.5,4.0,310,0.15,59.10034038380909
