HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
bayesian,501,10000,STATIC,bayesian,140,0.75,2.0,10000,501,bayesian,140,0.75,2.0,10000,501,26.16968553023853
lasso,501,10000,STATIC,lasso,70,1.75,4.0,10000,501,lasso,70,1.75,4.0,10000,501,26.168585071181212
bayesian,501,10000,STATIC,bayesian,100,0.25,2.5,10000,501,bayesian,100,0.25,2.5,10000,501,26.157213496991602
bayesian,501,10000,STATIC,bayesian,140,1.5,2.0,10000,501,bayesian,140,1.5,2.0,10000,501,26.1102768232464
ridge,501,10000,STATIC,ridge,80,0.5,4.0,10000,501,ridge,80,0.5,4.0,10000,501,26.08680966137453
ols,501,10000,STATIC,ols,80,0.5,4.0,10000,501,ols,80,0.5,4.0,10000,501,26.086329955342634
ols,501,10000,STATIC,ols,100,1.25,3.5,10000,501,ols,100,1.25,3.5,10000,501,26.081121396362633
ols,501,10000,STATIC,ols,100,1.25,4.0,10000,501,ols,100,1.25,4.0,10000,501,26.081121396362633
ridge,501,10000,STATIC,ridge,110,1.0,3.5,10000,501,ridge,110,1.0,3.5,10000,501,26.031085473060905
ridge,501,10000,STATIC,ridge,110,1.0,4.0,10000,501,ridge,110,1.0,4.0,10000,501,26.031085473060905
ols,501,10000,STATIC,ols,110,1.0,3.5,10000,501,ols,110,1.0,3.5,10000,501,26.03008358037937
ols,501,10000,STATIC,ols,110,1.0,4.0,10000,501,ols,110,1.0,4.0,10000,501,26.03008358037937
lasso,501,10000,STATIC,lasso,90,2.0,4.0,10000,501,lasso,90,2.0,4.0,10000,501,26.024803383446447
lasso,501,10000,STATIC,lasso,90,2.0,3.5,10000,501,lasso,90,2.0,3.5,10000,501,26.024803383446447
lasso,501,10000,STATIC,lasso,130,0.25,3.5,10000,501,lasso,130,0.25,3.5,10000,501,26.014102486993828
bayesian,501,10000,STATIC,bayesian,120,0.75,4.0,10000,501,bayesian,120,0.75,4.0,10000,501,26.013146078059414
bayesian,501,10000,STATIC,bayesian,90,1.0,2.5,10000,501,bayesian,90,1.0,2.5,10000,501,26.012465180816022
ridge,501,10000,STATIC,ridge,120,0.25,3.0,10000,501,ridge,120,0.25,3.0,10000,501,26.005527564253356
bayesian,501,10000,STATIC,bayesian,100,1.0,3.0,10000,501,bayesian,100,1.0,3.0,10000,501,25.999998179933577
ridge,501,10000,STATIC,ridge,100,0.25,2.5,10000,501,ridge,100,0.25,2.5,10000,501,25.99451970826476
ridge,501,10000,STATIC,ridge,140,0.5,2.5,10000,501,ridge,140,0.5,2.5,10000,501,25.970920321543844
ridge,501,10000,STATIC,ridge,150,1.0,2.5,10000,501,ridge,150,1.0,2.5,10000,501,25.96736794053951
ols,501,10000,STATIC,ols,140,0.5,2.5,10000,501,ols,140,0.5,2.5,10000,501,25.967024288582834
ols,501,10000,STATIC,ols,150,1.0,2.5,10000,501,ols,150,1.0,2.5,10000,501,25.965541496825985
lasso,501,10000,STATIC,lasso,120,1.0,3.5,10000,501,lasso,120,1.0,3.5,10000,501,25.944071546305288
ridge,501,10000,STATIC,ridge,140,0.25,3.0,10000,501,ridge,140,0.25,3.0,10000,501,25.938819488251383
ols,501,10000,STATIC,ols,140,0.25,3.0,10000,501,ols,140,0.25,3.0,10000,501,25.933588767643997
ols,501,10000,STATIC,ols,90,2.0,4.0,10000,501,ols,90,2.0,4.0,10000,501,25.92007380571238
ols,501,10000,STATIC,ols,90,2.0,3.5,10000,501,ols,90,2.0,3.5,10000,501,25.92007380571238
ridge,501,10000,STATIC,ridge,90,2.0,3.5,10000,501,ridge,90,2.0,3.5,10000,501,25.919402684972987
ridge,501,10000,STATIC,ridge,90,2.0,4.0,10000,501,ridge,90,2.0,4.0,10000,501,25.919402684972987
lasso,501,10000,STATIC,lasso,100,1.25,3.5,10000,501,lasso,100,1.25,3.5,10000,501,25.854258873744904
lasso,501,10000,STATIC,lasso,100,1.25,4.0,10000,501,lasso,100,1.25,4.0,10000,501,25.854258873744904
ols,501,10000,STATIC,ols,140,0.75,2.0,10000,501,ols,140,0.75,2.0,10000,501,25.843176090790557
lasso,501,10000,STATIC,lasso,80,0.25,4.0,10000,501,lasso,80,0.25,4.0,10000,501,25.83617052253598
ols,501,10000,STATIC,ols,100,0.25,2.5,10000,501,ols,100,0.25,2.5,10000,501,25.80025603944106
ols,501,10000,STATIC,ols,80,1.25,4.0,10000,501,ols,80,1.25,4.0,10000,501,25.778195590611567
ridge,501,10000,STATIC,ridge,80,1.25,4.0,10000,501,ridge,80,1.25,4.0,10000,501,25.777427917030167
lasso,501,10000,STATIC,lasso,80,1.0,3.0,10000,501,lasso,80,1.0,3.0,10000,501,25.72052688302928
ols,501,10000,STATIC,ols,120,0.25,3.0,10000,501,ols,120,0.25,3.0,10000,501,25.696672343230766
bayesian,501,10000,STATIC,bayesian,120,1.25,3.0,10000,501,bayesian,120,1.25,3.0,10000,501,25.679530235016202
ridge,501,10000,STATIC,ridge,120,1.75,2.0,10000,501,ridge,120,1.75,2.0,10000,501,25.67653898800446
ridge,501,10000,STATIC,ridge,80,0.5,3.5,10000,501,ridge,80,0.5,3.5,10000,501,25.675753743509702
ols,501,10000,STATIC,ols,80,0.5,3.5,10000,501,ols,80,0.5,3.5,10000,501,25.675273937551317
bayesian,501,10000,STATIC,bayesian,120,0.75,3.5,10000,501,bayesian,120,0.75,3.5,10000,501,25.63453957259064
bayesian,501,10000,STATIC,bayesian,100,1.75,4.0,10000,501,bayesian,100,1.75,4.0,10000,501,25.629221309447416
bayesian,501,10000,STATIC,bayesian,100,1.75,3.5,10000,501,bayesian,100,1.75,3.5,10000,501,25.629221309447416
