ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
501,130,0.4,4.0,10000,32.8403808852145
501,130,1.5000000000000002,2.5,10000,32.804898879512
501,130,1.3000000000000003,3.5,10000,32.70861296213168
501,130,0.6,2.75,10000,32.67188507878914
501,130,1.0,3.75,10000,32.60136976870336
501,130,1.0,4.0,10000,32.60136976870336
501,130,0.4,3.5,10000,32.44603896568122
501,130,1.0,3.5,10000,32.21130740849106
501,100,0.1,3.0,10000,32.19683964633924
501,100,1.5000000000000002,4.0,10000,31.923894549259543
501,100,1.5000000000000002,3.75,10000,31.923894549259543
501,100,1.5000000000000002,3.5,10000,31.923894549259543
501,130,1.8000000000000003,2.25,10000,31.83306512232576
501,130,1.4000000000000001,2.5,10000,31.79030372840576
501,100,1.5000000000000002,3.25,10000,31.571252990471955
501,100,2.1,3.75,10000,31.361731863194933
501,100,2.1,4.0,10000,31.361731863194933
501,100,2.1,3.5,10000,31.361731863194933
501,100,1.4000000000000001,4.0,10000,31.326209895271063
501,100,1.4000000000000001,3.5,10000,31.326209895271063
501,100,1.4000000000000001,3.75,10000,31.326209895271063
501,130,1.9000000000000001,2.0,10000,31.311347529619237
501,70,1.9000000000000001,3.25,10000,31.141123761130597
501,100,0.30000000000000004,3.5,10000,31.060140884858356
501,100,0.30000000000000004,4.0,10000,31.060140884858356
501,100,0.30000000000000004,3.75,10000,31.060140884858356
501,70,1.9000000000000001,3.75,10000,31.014916016584895
501,70,1.9000000000000001,4.0,10000,31.014916016584895
501,100,2.0,3.75,10000,30.991863736372544
501,100,2.0,4.0,10000,30.991863736372544
501,100,2.0,3.5,10000,30.991863736372544
501,100,2.1,3.25,10000,30.98088859270444
501,100,1.4000000000000001,3.25,10000,30.951050574224197
501,100,1.6,4.0,10000,30.848196172336312
501,100,1.6,3.75,10000,30.848196172336312
501,100,1.6,3.5,10000,30.848196172336312
501,70,2.0,3.25,10000,30.829196794932777
501,130,2.3000000000000003,3.0,10000,30.808915918244768
501,130,1.3000000000000003,3.25,10000,30.783575241734326
501,100,0.4,3.0,10000,30.78077776041315
501,100,0.30000000000000004,3.25,10000,30.713239112267487
501,70,2.0,4.0,10000,30.701746502668257
501,70,2.0,3.75,10000,30.701746502668257
501,100,2.0,3.25,10000,30.61485970126035
501,70,1.9000000000000001,3.5,10000,30.563805494542336
501,100,1.6,3.25,10000,30.465674793715543
501,130,1.2000000000000002,4.0,10000,30.45077065510715
501,130,1.2000000000000002,3.75,10000,30.45077065510715
501,130,0.4,3.25,10000,30.37733327146791
