TRADING_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
150,150,1.5,4.0,10000,28.20321745642493
300,150,2.0,4.0,10000,28.17072423239653
250,150,2.0,2.5,10000,28.14374570663722
150,150,1.5,3.5,10000,27.961538403118993
300,150,2.0,3.5,10000,27.85428026511765
200,120,0.5,3.0,10000,27.758512990581373
450,90,1.5,3.0,10000,27.72537878238873
150,150,2.0,4.0,10000,27.69692513214299
150,120,2.0,3.5,10000,27.684685330968996
150,120,2.0,4.0,10000,27.684685330968996
200,150,1.5,3.0,10000,27.62543657945804
150,150,2.0,3.5,10000,27.459418642949757
250,150,0.5,2.5,10000,27.405226908511473
100,90,2.0,4.0,10000,27.397378958820862
300,120,2.0,2.5,10000,27.389688736841098
350,90,1.5,3.5,10000,27.354753055058872
350,90,1.5,4.0,10000,27.354753055058872
250,150,1.0,2.5,10000,27.326926420212473
100,90,2.0,3.5,10000,27.12375303516938
350,150,1.0,2.5,10000,27.083187984761246
300,90,0.5,3.0,10000,26.869649400940972
300,90,2.0,2.5,10000,26.848360895483964
250,90,1.5,4.0,10000,26.841356675905203
250,90,1.5,3.5,10000,26.841356675905203
300,150,2.0,3.0,10000,26.805049728801983
150,150,1.5,3.0,10000,26.70198572448693
50,120,1.5,3.0,10000,26.648605093886683
300,90,1.0,3.0,10000,26.59898228245671
150,120,0.5,3.0,10000,26.574662753854774
200,90,2.0,4.0,10000,26.564035813644463
200,120,2.0,3.0,10000,26.557028772752247
250,90,1.0,3.0,10000,26.50382889871573
100,120,2.0,3.0,10000,26.425885358494295
200,90,2.0,3.5,10000,26.28118184723892
350,90,0.5,2.5,10000,26.26109773963293
400,90,2.5,4.0,10000,26.190305201159745
400,90,2.5,3.5,10000,26.190305201159745
450,90,0.5,3.5,10000,26.160323290706266
450,90,0.5,4.0,10000,26.160323290706266
300,150,0.5,2.5,10000,26.09307622797482
150,150,2.0,3.0,10000,26.090952782975492
150,120,2.0,3.0,10000,25.724945152450445
50,120,2.0,3.5,10000,25.603580163787917
50,120,2.0,4.0,10000,25.603580163787917
150,90,2.0,4.0,10000,25.45518835295237
450,90,1.0,2.5,10000,25.260735674925044
250,90,0.5,3.0,10000,25.16331133519678
150,90,2.0,3.5,10000,25.15896310404145
350,150,0.5,2.5,10000,25.05588642329004
500,60,0.5,3.5,10000,25.03605917438761
500,60,0.5,4.0,10000,25.03605917438761
300,150,1.5,2.5,10000,24.86069239138069
300,90,0.5,2.5,10000,24.812378544436967
100,150,1.5,4.0,10000,24.755682546282415
300,90,1.0,2.5,10000,24.743973806304034
500,60,0.5,3.0,10000,24.691633423553725
