ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
90,2.5,3.5,10000,-2.8388736309695766
120,1.0,2.5,10000,-3.446407877998986
150,0.5,2.5,10000,-3.6083333728309412
90,1.0,3.0,10000,-3.6845209005669446
90,0.5,3.0,10000,-4.224598290337731
60,2.25,2.5,10000,-4.345815493189196
90,2.25,4.0,10000,-4.389163682460303
150,1.0,2.5,10000,-4.4292988748956965
180,0.75,2.5,10000,-4.560503003929142
60,2.25,3.0,10000,-4.637789589987229
90,2.25,3.5,10000,-4.792022533866518
150,1.25,2.5,10000,-5.014930123647041
180,1.0,2.5,10000,-5.195861926032684
60,2.5,2.5,10000,-5.31359145840576
180,1.25,2.5,10000,-5.533556470810545
90,1.0,2.5,10000,-5.882416351872369
60,1.75,4.0,10000,-6.097771977013043
60,1.75,3.5,10000,-6.145120740155832
90,0.5,2.5,10000,-6.442258129070588
180,2.5,2.5,10000,-6.6892248403344645
90,2.5,3.0,10000,-7.114772012972097
60,2.0,4.0,10000,-7.529490098379352
60,2.0,3.5,10000,-7.576096811010615
60,1.5,4.0,10000,-8.036665736744517
60,1.5,3.5,10000,-8.080885128501297
90,2.5,2.5,10000,-9.093078943269605
60,1.75,3.0,10000,-9.330193816625787
90,2.25,3.0,10000,-9.425717249414632
60,0.5,4.0,10000,-9.959602370385767
60,0.5,3.5,10000,-10.003231652363144
60,2.0,3.0,10000,-10.386319744369356
90,2.25,2.5,10000,-11.383481334621605
60,1.5,3.0,10000,-11.451406432753323
60,0.75,4.0,10000,-11.92630244798747
60,0.75,3.5,10000,-11.969921895426026
60,0.5,3.0,10000,-13.00472503910807
60,1.75,2.5,10000,-13.052974805686969
60,2.0,2.5,10000,-13.961518051188037
60,1.0,4.0,10000,-14.149499144485358
60,1.0,3.5,10000,-14.193378602426932
60,1.25,4.0,10000,-14.437181008268556
60,1.25,3.5,10000,-14.481121932013131
60,0.75,3.0,10000,-15.17517052543625
60,1.5,2.5,10000,-15.192850020339776
60,0.5,2.5,10000,-15.743738489119139
60,1.0,3.0,10000,-17.348459626863487
60,1.25,3.0,10000,-17.709462531737046
60,0.75,2.5,10000,-18.028039256951477
60,1.0,2.5,10000,-20.2286562372884
60,1.25,2.5,10000,-20.451288232678195
