ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
70,1.5,3.0,39.93633768942609
90,1.25,3.0,39.79327061073396
150,2.0,2.5,39.755543636011126
100,1.0,2.5,39.42563752007555
150,0.25,2.5,39.38893374126903
100,2.25,3.0,38.96098471926123
90,0.5,3.5,38.866070261265286
90,0.5,4.0,38.866070261265286
90,1.5,3.0,38.719011634910686
80,0.25,3.5,38.56336843585764
80,0.25,4.0,38.56336843585764
70,1.0,2.5,38.25144304921311
110,2.25,2.5,38.1784747671351
100,0.5,2.5,37.768276856192706
70,0.75,4.0,37.577011748718874
70,0.75,3.5,37.577011748718874
90,1.0,2.5,37.501614572451054
90,0.75,2.5,37.45908636919832
80,1.0,2.5,37.14108990684917
70,1.25,2.5,37.08176663601024
90,1.25,2.5,37.06852951821995
70,1.5,2.5,36.834304564689276
120,2.25,2.5,36.80636808277586
70,0.75,3.0,36.76075262758248
90,0.5,3.0,36.6258102466879
90,2.25,4.0,36.3820567858427
90,2.25,3.5,36.3820567858427
100,0.25,2.5,36.16346277191703
70,0.5,4.0,36.135960604848314
70,0.5,3.5,36.135960604848314
80,0.25,3.0,36.10498650554428
80,1.75,3.5,35.86239353171018
80,1.75,4.0,35.86239353171018
90,0.25,3.5,35.5575147163684
90,0.25,4.0,35.5575147163684
100,2.25,2.5,35.33904255090941
70,0.5,3.0,35.31495095624964
80,2.0,4.0,35.210059035988934
80,2.0,3.5,35.210059035988934
140,2.25,3.5,35.01492186545261
140,2.25,4.0,35.01492186545261
90,1.5,2.5,34.99817216749517
130,2.0,2.5,34.977661857463126
70,0.25,4.0,34.718453950119766
70,0.25,3.5,34.718453950119766
90,2.25,3.0,34.59351435440763
70,1.75,4.0,34.46930029695635
70,1.75,3.5,34.46930029695635
150,2.25,4.0,34.337236860947655
150,2.25,3.5,34.337236860947655
60,1.0,3.5,34.309880462485495
60,1.0,4.0,34.309880462485495
140,2.25,3.0,34.155511183178994
80,1.25,4.0,34.035951871864974
80,1.25,3.5,34.035951871864974
60,1.75,4.0,34.00231239049719
60,1.75,3.5,34.00231239049719
70,0.25,3.0,33.8989418214786
150,1.25,2.5,33.67742518073793
60,1.0,3.0,33.58884629142979
150,2.25,3.0,33.48449152828489
90,0.5,2.5,33.46502516990123
90,0.25,3.0,33.33102638618828
80,1.75,3.0,33.10112497620585
70,0.75,2.5,33.03133124865157
60,1.75,3.0,32.92968983817843
80,0.25,2.5,32.929092061149056
70,1.75,3.0,32.894563877010455
80,2.0,3.0,32.59360305834113
110,2.5,3.5,32.06399734659715
110,2.5,4.0,32.06399734659715
60,1.25,4.0,31.838729149436723
60,1.25,3.5,31.838729149436723
100,2.5,3.5,31.74547682959249
100,2.5,4.0,31.74547682959249
130,2.25,2.5,31.70586539205716
80,1.25,3.0,31.60771386982517
70,0.5,2.5,31.59837868973964
90,2.25,2.5,31.350362616100938
110,2.5,3.0,31.151329895803478
60,1.25,3.0,31.139492515785278
150,2.5,3.5,31.11456268589692
150,2.5,4.0,31.11456268589692
80,1.5,4.0,30.867877696497885
80,1.5,3.5,30.867877696497885
80,0.5,3.5,30.676994126503246
80,0.5,4.0,30.676994126503246
70,1.75,2.5,30.569634754394947
120,2.5,3.5,30.54185091631767
120,2.5,4.0,30.54185091631767
70,0.25,2.5,30.300150302189607
150,2.5,3.0,30.26741785360072
90,0.25,2.5,29.948127028182903
80,1.75,2.5,29.920984060067923
120,2.5,3.0,29.662496602383943
100,2.5,3.0,29.47151702238788
80,1.25,2.5,28.655625815351982
80,2.0,2.5,28.568775411775555
80,0.5,3.0,28.237875054015916
60,1.0,2.5,28.158476511270848
80,1.5,3.0,28.097617479914412
60,0.75,4.0,27.403449553733516
60,0.75,3.5,27.403449553733516
60,1.5,4.0,26.91856962657124
60,1.5,3.5,26.91856962657124
60,0.75,3.0,26.69917497454707
70,2.0,4.0,26.67293108712216
70,2.0,3.5,26.67293108712216
60,0.5,4.0,26.288195650612785
60,0.5,3.5,26.288195650612785
60,0.5,3.0,25.942090037323446
140,2.25,2.5,25.8903280244825
60,1.5,3.0,25.854747457014064
60,1.25,2.5,25.589056308047418
60,1.75,2.5,25.52488912246831
90,2.5,4.0,25.459423988678747
90,2.5,3.5,25.459423988678747
70,2.0,3.0,25.116925893920957
80,0.5,2.5,24.889248503745407
140,2.5,4.0,24.879828594430027
140,2.5,3.5,24.879828594430027
