HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
2sls,501,10000,STATIC,2sls,150,1.25,3.0,10000,501,2sls,150,1.25,3.0,10000,501,33.99488378938786
ols,501,10000,STATIC,ols,140,0.5,3.0,10000,501,ols,140,0.5,3.0,10000,501,33.98365358994181
2sls,501,10000,STATIC,2sls,150,1.0,3.5,10000,501,2sls,150,1.0,3.5,10000,501,33.845010112451675
2sls,501,10000,STATIC,2sls,80,0.75,3.5,10000,501,2sls,80,0.75,3.5,10000,501,33.78296791364784
ols,501,10000,STATIC,ols,150,0.25,3.5,10000,501,ols,150,0.25,3.5,10000,501,33.742604542746705
2sls,501,10000,STATIC,2sls,120,1.75,3.0,10000,501,2sls,120,1.75,3.0,10000,501,33.72610131467685
ols,501,10000,STATIC,ols,120,1.75,3.0,10000,501,ols,120,1.75,3.0,10000,501,33.71415356241611
2sls,501,10000,STATIC,2sls,140,1.25,4.0,10000,501,2sls,140,1.25,4.0,10000,501,33.71194535881497
2sls,501,10000,STATIC,2sls,140,1.25,3.5,10000,501,2sls,140,1.25,3.5,10000,501,33.71194535881497
2sls,501,10000,STATIC,2sls,130,0.75,4.0,10000,501,2sls,130,0.75,4.0,10000,501,33.52737287179877
ols,501,10000,STATIC,ols,130,0.5,3.0,10000,501,ols,130,0.5,3.0,10000,501,33.502109580544364
ols,501,10000,STATIC,ols,130,0.75,4.0,10000,501,ols,130,0.75,4.0,10000,501,33.32953470300975
ols,501,10000,STATIC,ols,100,0.25,4.0,10000,501,ols,100,0.25,4.0,10000,501,33.306805832005324
ols,501,10000,STATIC,ols,100,0.25,3.5,10000,501,ols,100,0.25,3.5,10000,501,33.306805832005324
ols,501,10000,STATIC,ols,150,1.0,4.0,10000,501,ols,150,1.0,4.0,10000,501,33.151519918709795
2sls,501,10000,STATIC,2sls,130,0.75,3.5,10000,501,2sls,130,0.75,3.5,10000,501,33.14619039099325
ols,501,10000,STATIC,ols,140,1.75,2.5,10000,501,ols,140,1.75,2.5,10000,501,33.11792840577668
ols,501,10000,STATIC,ols,130,0.75,3.5,10000,501,ols,130,0.75,3.5,10000,501,32.9333343685869
2sls,501,10000,STATIC,2sls,130,0.5,3.0,10000,501,2sls,130,0.5,3.0,10000,501,32.93291559448622
2sls,501,10000,STATIC,2sls,150,0.75,2.5,10000,501,2sls,150,0.75,2.5,10000,501,32.873902048232864
2sls,501,10000,STATIC,2sls,110,2.0,3.5,10000,501,2sls,110,2.0,3.5,10000,501,32.78316333537046
2sls,501,10000,STATIC,2sls,110,2.0,4.0,10000,501,2sls,110,2.0,4.0,10000,501,32.78316333537046
ols,501,10000,STATIC,ols,150,1.0,3.5,10000,501,ols,150,1.0,3.5,10000,501,32.72914702339906
ols,501,10000,STATIC,ols,120,0.5,4.0,10000,501,ols,120,0.5,4.0,10000,501,32.675742978337844
ols,501,10000,STATIC,ols,150,1.25,4.0,10000,501,ols,150,1.25,4.0,10000,501,32.51372506501525
2sls,501,10000,STATIC,2sls,120,2.25,3.0,10000,501,2sls,120,2.25,3.0,10000,501,32.38614972737781
2sls,501,10000,STATIC,2sls,90,0.75,3.5,10000,501,2sls,90,0.75,3.5,10000,501,32.38590227153673
2sls,501,10000,STATIC,2sls,90,0.75,4.0,10000,501,2sls,90,0.75,4.0,10000,501,32.38590227153673
2sls,501,10000,STATIC,2sls,120,1.5,4.0,10000,501,2sls,120,1.5,4.0,10000,501,32.35918208952478
2sls,501,10000,STATIC,2sls,130,2.25,2.5,10000,501,2sls,130,2.25,2.5,10000,501,32.338567837646195
ols,501,10000,STATIC,ols,110,2.0,4.0,10000,501,ols,110,2.0,4.0,10000,501,32.32988130400754
ols,501,10000,STATIC,ols,110,2.0,3.5,10000,501,ols,110,2.0,3.5,10000,501,32.32988130400754
2sls,501,10000,STATIC,2sls,140,1.75,2.5,10000,501,2sls,140,1.75,2.5,10000,501,32.29368219676759
2sls,501,10000,STATIC,2sls,130,2.0,2.5,10000,501,2sls,130,2.0,2.5,10000,501,32.29220561107094
ols,501,10000,STATIC,ols,120,0.5,3.5,10000,501,ols,120,0.5,3.5,10000,501,32.281095567635326
ols,501,10000,STATIC,ols,140,1.75,2.0,10000,501,ols,140,1.75,2.0,10000,501,32.15096776759014
ols,501,10000,STATIC,ols,140,2.25,4.0,10000,501,ols,140,2.25,4.0,10000,501,32.12155116688241
ols,501,10000,STATIC,ols,140,2.25,3.5,10000,501,ols,140,2.25,3.5,10000,501,32.12155116688241
ols,501,10000,STATIC,ols,150,1.25,3.5,10000,501,ols,150,1.25,3.5,10000,501,32.0915159767431
2sls,501,10000,STATIC,2sls,80,2.0,4.0,10000,501,2sls,80,2.0,4.0,10000,501,32.06773958233071
ols,501,10000,STATIC,ols,140,1.25,3.0,10000,501,ols,140,1.25,3.0,10000,501,32.03620946997497
ols,501,10000,STATIC,ols,130,1.25,4.0,10000,501,ols,130,1.25,4.0,10000,501,32.02690447770814
2sls,501,10000,STATIC,2sls,120,1.5,3.5,10000,501,2sls,120,1.5,3.5,10000,501,31.980556320809626
ols,501,10000,STATIC,ols,80,0.75,4.0,10000,501,ols,80,0.75,4.0,10000,501,31.978517598573553
ols,501,10000,STATIC,ols,120,1.0,4.0,10000,501,ols,120,1.0,4.0,10000,501,31.95335678399507
2sls,501,10000,STATIC,2sls,150,1.0,3.0,10000,501,2sls,150,1.0,3.0,10000,501,31.95111939602434
2sls,501,10000,STATIC,2sls,150,0.25,4.0,10000,501,2sls,150,0.25,4.0,10000,501,31.903719764344245
2sls,501,10000,STATIC,2sls,130,1.25,4.0,10000,501,2sls,130,1.25,4.0,10000,501,31.871511678107105
ols,501,10000,STATIC,ols,130,1.5,2.5,10000,501,ols,130,1.5,2.5,10000,501,31.762296701078302
ols,501,10000,STATIC,ols,150,0.25,3.0,10000,501,ols,150,0.25,3.0,10000,501,31.755612243609527
ols,501,10000,STATIC,ols,130,1.0,4.0,10000,501,ols,130,1.0,4.0,10000,501,31.727438873354984
2sls,501,10000,STATIC,2sls,80,2.0,3.5,10000,501,2sls,80,2.0,3.5,10000,501,31.675497697839916
2sls,501,10000,STATIC,2sls,90,1.0,4.0,10000,501,2sls,90,1.0,4.0,10000,501,31.660468722571444
2sls,501,10000,STATIC,2sls,90,1.0,3.5,10000,501,2sls,90,1.0,3.5,10000,501,31.660468722571444
ols,501,10000,STATIC,ols,130,1.25,3.5,10000,501,ols,130,1.25,3.5,10000,501,31.631911056719346
ols,501,10000,STATIC,ols,120,1.5,4.0,10000,501,ols,120,1.5,4.0,10000,501,31.61800130013117
2sls,501,10000,STATIC,2sls,100,1.5,3.5,10000,501,2sls,100,1.5,3.5,10000,501,31.59681532929946
2sls,501,10000,STATIC,2sls,100,1.5,4.0,10000,501,2sls,100,1.5,4.0,10000,501,31.59681532929946
2sls,501,10000,STATIC,2sls,120,1.0,4.0,10000,501,2sls,120,1.0,4.0,10000,501,31.594220314757685
2sls,501,10000,STATIC,2sls,140,2.25,4.0,10000,501,2sls,140,2.25,4.0,10000,501,31.582641515294256
2sls,501,10000,STATIC,2sls,140,2.25,3.5,10000,501,2sls,140,2.25,3.5,10000,501,31.582641515294256
ols,501,10000,STATIC,ols,80,0.75,3.5,10000,501,ols,80,0.75,3.5,10000,501,31.568903214412074
ols,501,10000,STATIC,ols,120,1.0,3.5,10000,501,ols,120,1.0,3.5,10000,501,31.560934199318076
ols,501,10000,STATIC,ols,80,2.0,4.0,10000,501,ols,80,2.0,4.0,10000,501,31.55863043281351
2sls,501,10000,STATIC,2sls,110,1.5,3.5,10000,501,2sls,110,1.5,3.5,10000,501,31.525120952785123
2sls,501,10000,STATIC,2sls,110,1.5,4.0,10000,501,2sls,110,1.5,4.0,10000,501,31.525120952785123
2sls,501,10000,STATIC,2sls,130,1.25,3.5,10000,501,2sls,130,1.25,3.5,10000,501,31.49126748864895
2sls,501,10000,STATIC,2sls,150,0.25,3.5,10000,501,2sls,150,0.25,3.5,10000,501,31.47127207545917
ols,501,10000,STATIC,ols,130,1.0,3.5,10000,501,ols,130,1.0,3.5,10000,501,31.33634724327044
ols,501,10000,STATIC,ols,120,2.25,4.0,10000,501,ols,120,2.25,4.0,10000,501,31.28057254107956
2sls,501,10000,STATIC,2sls,100,0.25,3.0,10000,501,2sls,100,0.25,3.0,10000,501,31.257332290841653
ols,501,10000,STATIC,ols,150,2.25,4.0,10000,501,ols,150,2.25,4.0,10000,501,31.245364155853682
ols,501,10000,STATIC,ols,120,1.5,3.5,10000,501,ols,120,1.5,3.5,10000,501,31.22481269867763
2sls,501,10000,STATIC,2sls,120,1.0,3.5,10000,501,2sls,120,1.0,3.5,10000,501,31.216255380081968
ols,501,10000,STATIC,ols,100,1.5,3.5,10000,501,ols,100,1.5,3.5,10000,501,31.158124527125945
ols,501,10000,STATIC,ols,100,1.5,4.0,10000,501,ols,100,1.5,4.0,10000,501,31.158124527125945
ols,501,10000,STATIC,ols,80,2.0,3.5,10000,501,ols,80,2.0,3.5,10000,501,31.151334320263306
2sls,501,10000,STATIC,2sls,140,1.25,3.0,10000,501,2sls,140,1.25,3.0,10000,501,31.0854576065965
2sls,501,10000,STATIC,2sls,150,2.25,4.0,10000,501,2sls,150,2.25,4.0,10000,501,30.984700966817364
2sls,501,10000,STATIC,2sls,130,0.75,3.0,10000,501,2sls,130,0.75,3.0,10000,501,30.89374283386463
ols,501,10000,STATIC,ols,120,2.25,3.5,10000,501,ols,120,2.25,3.5,10000,501,30.85427568895207
ols,501,10000,STATIC,ols,150,1.0,3.0,10000,501,ols,150,1.0,3.0,10000,501,30.83802336434335
ols,501,10000,STATIC,ols,150,2.25,3.5,10000,501,ols,150,2.25,3.5,10000,501,30.83495303852633
2sls,501,10000,STATIC,2sls,140,1.75,2.0,10000,501,2sls,140,1.75,2.0,10000,501,30.829743355303787
ols,501,10000,STATIC,ols,130,0.75,3.0,10000,501,ols,130,0.75,3.0,10000,501,30.6859507585225
ols,501,10000,STATIC,ols,100,0.25,3.0,10000,501,ols,100,0.25,3.0,10000,501,30.582242467666944
2sls,501,10000,STATIC,2sls,150,2.25,3.5,10000,501,2sls,150,2.25,3.5,10000,501,30.576671899915368
ols,501,10000,STATIC,ols,80,1.0,4.0,10000,501,ols,80,1.0,4.0,10000,501,30.571120974337
2sls,501,10000,STATIC,2sls,80,0.75,3.0,10000,501,2sls,80,0.75,3.0,10000,501,30.544706350390157
2sls,501,10000,STATIC,2sls,120,0.5,4.0,10000,501,2sls,120,0.5,4.0,10000,501,30.537370537465627
2sls,501,10000,STATIC,2sls,130,1.0,4.0,10000,501,2sls,130,1.0,4.0,10000,501,30.48596717289366
ols,501,10000,STATIC,ols,120,0.5,3.0,10000,501,ols,120,0.5,3.0,10000,501,30.452475744594892
ols,501,10000,STATIC,ols,150,2.0,4.0,10000,501,ols,150,2.0,4.0,10000,501,30.42146151547693
ols,501,10000,STATIC,ols,110,1.5,4.0,10000,501,ols,110,1.5,4.0,10000,501,30.397054101534877
ols,501,10000,STATIC,ols,110,1.5,3.5,10000,501,ols,110,1.5,3.5,10000,501,30.397054101534877
2sls,501,10000,STATIC,2sls,80,1.0,4.0,10000,501,2sls,80,1.0,4.0,10000,501,30.37126516793907
2sls,501,10000,STATIC,2sls,130,1.75,2.0,10000,501,2sls,130,1.75,2.0,10000,501,30.337098108177134
2sls,501,10000,STATIC,2sls,110,1.75,3.5,10000,501,2sls,110,1.75,3.5,10000,501,30.22013769403367
2sls,501,10000,STATIC,2sls,110,1.75,4.0,10000,501,2sls,110,1.75,4.0,10000,501,30.22013769403367
2sls,501,10000,STATIC,2sls,150,2.0,4.0,10000,501,2sls,150,2.0,4.0,10000,501,30.173472370704864
ols,501,10000,STATIC,ols,90,1.0,4.0,10000,501,ols,90,1.0,4.0,10000,501,30.165382997715326
ols,501,10000,STATIC,ols,90,1.0,3.5,10000,501,ols,90,1.0,3.5,10000,501,30.165382997715326
ols,501,10000,STATIC,ols,80,1.0,3.5,10000,501,ols,80,1.0,3.5,10000,501,30.164198186829083
2sls,501,10000,STATIC,2sls,120,0.5,3.5,10000,501,2sls,120,0.5,3.5,10000,501,30.157897200612666
2sls,501,10000,STATIC,2sls,130,1.0,3.5,10000,501,2sls,130,1.0,3.5,10000,501,30.109455716337784
2sls,501,10000,STATIC,2sls,120,1.5,3.0,10000,501,2sls,120,1.5,3.0,10000,501,30.103756777520644
