ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
601,10000,120,2.0,4.0,120,1.5,3.0,40.77683863784523
401,10000,120,1.0,4.0,120,1.5,3.5,40.768234278494326
401,10000,120,1.0,4.0,120,1.5,4.0,40.768234278494326
501,10000,120,2.0,3.0,120,1.5,2.5,40.76082863329356
501,10000,120,1.5,4.0,120,1.0,4.0,40.717355804719354
501,10000,120,1.5,4.0,120,1.0,3.5,40.717355804719354
501,10000,90,1.0,3.5,120,1.5,2.5,40.70463503603735
501,10000,90,1.0,4.0,120,1.5,2.5,40.70463503603735
501,10000,90,1.0,4.0,120,1.0,3.5,40.68954628462805
501,10000,90,1.0,3.5,120,1.0,4.0,40.68954628462805
501,10000,90,1.0,3.5,120,1.0,3.5,40.68954628462805
501,10000,90,1.0,4.0,120,1.0,4.0,40.68954628462805
601,10000,120,2.0,3.5,120,1.5,3.0,40.647569964454675
601,10000,120,1.5,4.0,90,1.0,3.5,40.60160427305538
601,10000,120,1.5,4.0,90,1.0,4.0,40.60160427305538
601,10000,120,1.0,4.0,120,1.5,4.0,40.56325282953376
601,10000,120,1.0,4.0,120,1.5,3.5,40.56325282953376
501,10000,120,1.5,3.5,120,1.5,2.5,40.55822819389991
401,10000,120,1.0,3.5,120,1.5,4.0,40.5406492083546
401,10000,120,1.0,3.5,120,1.5,3.5,40.5406492083546
501,10000,120,1.5,3.5,120,1.0,3.5,40.48654768712593
501,10000,120,1.5,3.5,120,1.0,4.0,40.48654768712593
401,10000,90,2.0,3.5,120,1.5,4.0,40.48528297667322
401,10000,90,2.0,4.0,120,1.5,3.5,40.48528297667322
401,10000,90,2.0,3.5,120,1.5,3.5,40.48528297667322
401,10000,90,2.0,4.0,120,1.5,4.0,40.48528297667322
601,10000,120,1.5,3.5,90,1.0,4.0,40.48458144199724
601,10000,120,1.5,3.5,90,1.0,3.5,40.48458144199724
501,10000,90,1.0,2.5,120,1.5,3.5,40.45740067409302
501,10000,90,1.0,2.5,120,1.5,4.0,40.45740067409302
601,10000,120,1.0,3.5,120,1.5,4.0,40.44855693578308
601,10000,120,1.0,3.5,120,1.5,3.5,40.44855693578308
601,10000,120,1.0,4.0,120,1.5,3.0,40.41136440088404
401,10000,120,1.5,3.0,120,1.5,3.0,40.400629109837965
501,10000,120,2.0,3.0,120,1.0,2.5,40.37928804834026
501,10000,120,1.5,4.0,120,1.0,3.0,40.36544395582322
501,10000,90,1.0,3.5,120,1.0,3.0,40.33602728832218
501,10000,90,1.0,4.0,120,1.0,3.0,40.33602728832218
401,10000,120,1.0,4.0,120,1.5,3.0,40.323836499769186
501,10000,120,1.0,3.0,120,1.5,2.5,40.30623238286449
501,10000,90,1.5,4.0,120,1.5,4.0,40.29858583200443
501,10000,90,1.5,4.0,120,1.5,3.5,40.29858583200443
501,10000,90,1.5,3.5,120,1.5,3.5,40.29858583200443
501,10000,90,1.5,3.5,120,1.5,4.0,40.29858583200443
601,10000,120,1.0,3.5,120,1.5,3.0,40.29669139120846
501,10000,120,1.0,3.0,120,1.0,4.0,40.29190025744552
501,10000,120,1.0,3.0,120,1.0,3.5,40.29190025744552
401,10000,120,1.0,3.0,120,1.5,3.5,40.2662903563757
401,10000,120,1.0,3.0,120,1.5,4.0,40.2662903563757
501,10000,120,1.5,3.5,120,1.0,3.0,40.13470499075272
601,10000,120,1.5,4.0,90,1.0,3.0,40.12440174195447
401,10000,120,2.0,3.0,120,1.5,2.5,40.1233792360883
401,10000,120,1.0,3.5,120,1.5,3.0,40.09641000761193
501,10000,90,1.0,2.5,120,1.5,3.0,40.042282923747806
401,10000,90,2.0,4.0,120,1.5,3.0,40.03247524042999
401,10000,90,2.0,3.5,120,1.5,3.0,40.03247524042999
601,10000,120,1.5,3.5,90,1.0,3.0,40.007378416369626
501,10000,120,1.0,3.0,120,1.0,3.0,39.93839836135112
601,10000,120,1.5,3.0,120,1.5,4.0,39.93798623143332
601,10000,120,1.5,3.0,120,1.5,3.5,39.93798623143332
501,10000,90,1.5,4.0,120,1.5,3.0,39.88493410874395
501,10000,90,1.5,3.5,120,1.5,3.0,39.88493410874395
301,10000,90,1.5,3.5,120,1.5,4.0,39.85810511187779
301,10000,90,1.5,3.5,120,1.5,3.5,39.85810511187779
301,10000,90,1.5,4.0,120,1.5,4.0,39.85810511187779
301,10000,90,1.5,4.0,120,1.5,3.5,39.85810511187779
601,10000,120,2.0,4.0,90,1.0,4.0,39.823116507965025
601,10000,120,2.0,4.0,90,1.0,3.5,39.823116507965025
601,10000,120,1.5,4.0,120,1.0,4.0,39.787674241358026
601,10000,120,1.5,4.0,120,1.0,3.5,39.787674241358026
601,10000,120,1.5,3.0,120,1.5,3.0,39.78658442207141
301,10000,120,1.5,4.0,120,1.5,3.5,39.76849072874601
301,10000,120,1.5,4.0,120,1.5,4.0,39.76849072874601
601,10000,120,1.0,4.0,90,1.0,4.0,39.74598627960346
601,10000,120,1.0,4.0,90,1.0,3.5,39.74598627960346
401,10000,120,1.5,4.0,120,1.0,3.5,39.73027203846235
401,10000,120,1.5,4.0,120,1.0,4.0,39.73027203846235
301,10000,120,2.0,4.0,120,1.0,2.5,39.69924621955961
601,10000,120,1.5,4.0,120,1.0,3.0,39.69599043607347
601,10000,120,2.0,3.5,90,1.0,3.5,39.691747750403664
601,10000,120,2.0,3.5,90,1.0,4.0,39.691747750403664
401,10000,90,1.5,3.5,120,1.5,4.0,39.680917769173675
401,10000,90,1.5,3.5,120,1.5,3.5,39.680917769173675
401,10000,90,1.5,4.0,120,1.5,3.5,39.680917769173675
401,10000,90,1.5,4.0,120,1.5,4.0,39.680917769173675
601,10000,120,1.5,3.5,120,1.0,4.0,39.671369362461846
601,10000,120,1.5,3.5,120,1.0,3.5,39.671369362461846
601,10000,120,1.5,4.0,120,1.5,2.5,39.66975826533602
601,10000,120,1.0,3.5,90,1.0,3.5,39.62928041184269
601,10000,120,1.0,3.5,90,1.0,4.0,39.62928041184269
601,10000,120,1.5,3.5,120,1.0,3.0,39.5796989814234
601,10000,120,1.5,3.5,120,1.5,2.5,39.55491241888342
301,10000,120,1.5,3.5,120,1.5,3.5,39.538430431449264
301,10000,120,1.5,3.5,120,1.5,4.0,39.538430431449264
401,10000,120,1.5,3.5,120,1.0,4.0,39.49837170620625
401,10000,120,1.5,3.5,120,1.0,3.5,39.49837170620625
501,10000,120,1.5,3.0,120,1.5,2.5,39.45590067096047
301,10000,120,2.0,3.5,120,1.0,2.5,39.45432472434541
401,10000,120,1.0,3.0,120,1.5,3.0,39.443413270594384
301,10000,60,2.0,4.0,120,1.5,4.0,39.42102341773425
301,10000,60,2.0,4.0,120,1.5,3.5,39.42102341773425
301,10000,60,2.0,3.5,120,1.5,4.0,39.40803383355208
301,10000,60,2.0,3.5,120,1.5,3.5,39.40803383355208
601,10000,120,1.5,4.0,90,1.0,2.5,39.39168371827373
501,10000,120,1.5,3.0,120,1.0,3.5,39.38706815323631
501,10000,120,1.5,3.0,120,1.0,4.0,39.38706815323631
301,10000,90,1.5,3.0,120,1.5,4.0,39.378985970212604
301,10000,90,1.5,3.0,120,1.5,3.5,39.378985970212604
401,10000,120,1.0,4.0,120,1.0,3.5,39.37868428043477
401,10000,120,1.0,4.0,120,1.0,4.0,39.37868428043477
601,10000,120,2.0,4.0,90,1.0,3.0,39.344848861723676
301,10000,120,1.5,3.0,120,1.5,3.5,39.334171654902526
301,10000,120,1.5,3.0,120,1.5,4.0,39.334171654902526
401,10000,120,1.5,4.0,120,1.0,3.0,39.3242163675717
301,10000,120,2.0,3.0,120,1.0,2.5,39.27862233195144
601,10000,120,1.5,3.5,90,1.0,2.5,39.27513888972886
601,10000,120,1.0,4.0,90,1.0,3.0,39.26930382343431
501,10000,90,1.0,3.0,120,1.5,2.5,39.264581384353754
501,10000,90,1.0,3.0,120,1.0,4.0,39.24748004990336
501,10000,90,1.0,3.0,120,1.0,3.5,39.24748004990336
401,10000,120,1.5,3.0,120,1.0,4.0,39.246779248853976
401,10000,120,1.5,3.0,120,1.0,3.5,39.246779248853976
401,10000,90,1.5,4.0,120,1.5,3.0,39.22504718883006
401,10000,90,1.5,3.5,120,1.5,3.0,39.22504718883006
601,10000,120,2.0,3.5,90,1.0,3.0,39.21348438796119
401,10000,90,2.0,3.0,120,1.5,4.0,39.17948420142413
401,10000,90,2.0,3.0,120,1.5,3.5,39.17948420142413
501,10000,120,1.0,4.0,120,1.0,2.5,39.170555734689934
